NAME,KMEANS_CAT4
_454_A_Magliano_Casa_degli_Epigrammi_exedra.jpg,4
_457_A_Magliano_Casa_IX_5_11_13.jpg,1
_458_sides_A_Magliano_Casa_IX_5_11_13_tablinum-1.jpg,2
_458_sides_A_Magliano_Casa_IX_5_11_13_tablinum-2.jpg,3
_465_A_Carelli_Casa_di_Sallustio_peristyle_west_wall.jpg,1
_467_A_Magliano_Casa_dei_Capitelli_colorati_tablinum.jpg,1
_485_V_Loria_upper_Casa_di_Sallustio_cubiculum_lower_Fullonica.jpg,1
_496_V_Loria_Praedia_of_Julia_Felix_small_courtyard.jpg,1
_501_V_Loria_Casa_IX_5_11_13_atrium-1.jpg,2
_501_V_Loria_Casa_IX_5_11_13_atrium-2.jpg,1
_505_V_Loria_Casa_di_Laocoonte.jpg,1
_507_V_Loria_Casa_degli_Epigrammi_detail_garden.jpg,1
_50_Vincenzio_Loria_Casa_dei_Vettii_Punishment_of_Ixion.jpg,1
_510_G_Discanno_Fabbrica_di_Prodotti_chimici_garden_courtyard.jpg,1
_511_V_Loria_Casa_del_Centenario_triclinium_north_wall.jpg,1
_579_G_Discanno_Terme_del_Sarno.jpg,1
_581_G_Discanno_Terme_del_Sarno_ground_floor.jpg,1
_582_sides_G_Discanno_Casa_VIII_2_23_24_palaestra_ground_floor_east_wall-1.jpg,4
_582_sides_G_Discanno_Casa_VIII_2_23_24_palaestra_ground_floor_east_wall-2.jpg,4
_584_G_Discanno_Casa_VIII_2_23_24_palaestra_south_wall.jpg,1
_585_C_de_Simone_Casa_di_Sulpicius_Rufus_cubiculum_west_wall.jpg,1
_589_G_Discanno_Casa_di_Sulpicius_Rufus_cubiculum.jpg,1
_593_G_Discanno_Terme_del_Sarno_third_lower_story_frigidarium_back_wall.jpg,4
_594_C_de_Simone_Casa_delle_Nozze_d_Argento_room_beside_peristyle_west_wall.jpg,2
_595_C_de_Simone_Casa_delle_Nozze_d_Argento_cubiculum_rear_wall.jpg,1
_596_sides_C_de_Simone_Casa_di_Sulpicius_Rufus_triclinium_south_wall-1.jpg,4
_596_sides_C_de_Simone_Casa_di_Sulpicius_Rufus_triclinium_south_wall-2.jpg,1
_598_C_de_Simone_Casa_delle_Nozze_d_Argento_room_beside_peristyle_south_wall.jpg,4
_599_C_de_Simone_Casa_di_Sulpicius_Rufus_triclinium_west_wall.jpg,1
_600_sides_C_de_Simone_Casa_delle_Nozz_d_Argento_triclinium_south_wall-1.jpg,1
_600_sides_C_de_Simone_Casa_delle_Nozz_d_Argento_triclinium_south_wall-2.jpg,1
_606_C_de_Simone_Casa_dei_Vetti_triclinium_north_wall.jpg,4
_608_C_de_Simone_Casa_dei_Vetti_triclinium_south_wall_611_C_de_Simone_Casa_dei_Vetti_oecus_south_wall-1.jpg,1
_608_C_de_Simone_Casa_dei_Vetti_triclinium_south_wall_611_C_de_Simone_Casa_dei_Vetti_oecus_south_wall-2.jpg,1
_610_C_de_Simone_CasA_dei_Vetti_triclinium_rear_wall.jpg,1
_618_sides_C_de_Simone_Casa_dei_Vetti_triclinium_south_wall-1.jpg,1
_618_sides_C_de_Simone_Casa_dei_Vetti_triclinium_south_wall-2.jpg,1
